2025-07-27T11:33:25 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your NLG Trading Ltd receipt [#1325-5127]' | 
2025-07-27T11:33:29 | SUCCESS  | retries=0  | label=review_request  | subject='NLG Airport Transfers  Feedback Request and Thanks' | 
2025-07-27T11:33:33 | SUCCESS  | retries=0  | label=billing         | subject='Your new tax calculation from HMRC is ready' | 
2025-07-27T11:33:36 | SUCCESS  | retries=0  | label=other           | subject='BLL1RY | It’s nearly time to board' | 
2025-07-27T11:33:40 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, add Marcus B. - Senior Account Executive 💬' | 
2025-07-27T11:33:44 | SUCCESS  | retries=0  | label=social_notification | subject='I want to connect' | 
2025-07-27T11:33:48 | SUCCESS  | retries=0  | label=newsletter      | subject='Grok 4 rumors 🤖, Character AI’s video model 📹, American DeepSeek project 💻' | 
2025-07-27T11:33:52 | SUCCESS  | retries=0  | label=billing         | subject='Your ChatGPT code is 654468' | 
2025-07-27T11:33:55 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your Royal Mail parcel from Chococo Wholesale Limited has been delivered' | 
2025-07-27T11:33:59 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your parcel from Chococo Wholesale Limited is due to be delivered today' | 
2025-07-27T11:34:28 | SUCCESS  | retries=0  | label=social_notification | subject='Jared Harris Has An Update for You, Roger Pembery' | 
2025-07-27T11:34:31 | SUCCESS  | retries=0  | label=newsletter      | subject='Ride Like You Mean It' | 
2025-07-27T11:34:35 | SUCCESS  | retries=0  | label=billing         | subject='RE: Invoice Number: SI119916 for Mrs C Pembery' | 
2025-07-27T11:34:39 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, you’re on a roll on LinkedIn!' | 
2025-07-27T11:34:43 | SUCCESS  | retries=0  | label=other           | subject='Important changes to your Samsung account' | 
2025-07-27T11:34:46 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, follow Paul Clarke - Deputy Editor, Financial News at Dow Jones' | 
2025-07-27T11:34:50 | SUCCESS  | retries=0  | label=social_notification | subject='New device registration for Remember me' | 
2025-07-27T11:34:54 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your parcel from Chococo Wholesale Limited is on its way' | 
2025-07-27T11:34:57 | SUCCESS  | retries=0  | label=billing         | subject='Invoice INV-2015434 from nwITsolutions' | 
